No,Drug_name,SMILES,initial_weight,BET,1h (20%RH end),2h (30%RH end),3h (40%RH end),4h (50%RH end),5h (60%RH end),6h (70%RH end),9h (80%RH end),10h (70%RH end),11h (60%RH end),12h (50%RH end),13h (40%RH end),14h (30%RH end),15h (20%RH end)
91,Triamcinolone Acetonide,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@@]53C)F)O,41.7354,20.67,0.486847699,0.70248065,0.888308934,1.068095001,1.213150537,1.355648298,1.50601752,1.475144937,1.390302321,1.26414643,1.139714667,0.987275265,0.827963435
92,Chlortalidone,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,38.4087,0.58,0.034470495,0.0488051,0.05233893,0.036801672,0.048477768,0.060424373,0.056525255,0.027914893,0.02343927,0.033336759,0.014248402,0.023299628,0.005162088
93,Metronidazole,CC1=NC=C(N1CCO)[N+](=O)[O-],42.7671,0,0.066210944,0.056186379,0.045253425,0.036434049,0.026528224,0.037305783,0.012255276,0.006260497,0.029124163,0.03346998,0.045320409,0.03938849,0.041146802
94,Ketotifen Fumarate,CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1.C(=C/C(=O)O)\C(=O)O,49.5106,4.7,0.105154557,0.167512422,0.232717028,0.283258887,0.357386754,0.434062975,0.48785306,0.41884806,0.344251277,0.287744229,0.230702291,0.155142712,0.116094033
95,Naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,42.7026,1.22,0.053013121,0.060488315,0.066485607,0.082120607,0.100300891,0.136654651,0.190164948,0.15991969,0.131515394,0.112239503,0.07504048,0.066489001,0.048246239
96,Bisacodyl,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,29.3612,0,0.088777584,0.097899304,0.098021785,0.10231944,0.123057669,0.129588712,0.147585319,0.12042148,0.168231313,0.135222743,0.159382602,0.112124084,0.134608822
97,Lactose,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O.O,50.4597,0.24,0.091938355,0.101168654,0.101280032,0.11554072,0.135217517,0.149963299,0.126756803,0.136768955,0.100424167,0.068145754,0.075442876,0.056289833,0.038935043
98,Bifendate,COC1=C2C(=C(C(=C1)C(=O)OC)C3=C4C(=C(C=C3C(=O)OC)OC)OCO4)OCO2,22.1485,1.12,0.046403369,0.056321501,0.07955201,0.098593813,0.127634451,0.15083688,0.185572438,0.15970715,0.14822305,0.143394345,0.12585074,0.106841612,0.082928847
99,5-Nitro-2-Furan Acrylic Acid,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C(=O)O,8.6808,5.25,0.103518022,0.196730353,0.257075376,0.338932343,0.52027618,0.619066218,1.01440203,0.886527184,0.77808323,0.624117072,0.497366615,0.332720415,0.292677081
100,Rutin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,50.4125,27.6,0.766448858,0.987190824,1.126044413,1.238485877,1.360631187,1.492728185,1.5629288,1.394774275,1.367804504,1.259532684,1.128024961,0.968424806,0.769088548
101,6-Methoxy-2-Acetonaphthone,CC(=O)C1=CC2=C(C=C1)C=C(C=C2)OC,46.9338,0,0.051944943,0.053609447,0.047756513,0.03259434,0.018435889,0.022442505,0.021824562,0.025113285,0.031949446,0.039838822,0.037536218,0.024092134,0.035283508
102,p-Toluenesulfonamide,CC1=CC=C(C=C1)S(=O)(=O)N,53.9836,0,0.025982176,0.024161492,0.027790162,0.030187481,0.02223115,0.015118216,0.026438222,0.019177855,0.016593898,0.018476034,0.024108975,0.020718653,0.036256747
103,Homopiperonylonitrile,C1OC2=C(O1)C=C(C=C2)CC#N,13.3,5.65,0.161975083,0.188624575,0.218630309,0.244603132,0.294273477,0.324173461,0.283312911,0.274361525,0.25197834,0.164389421,0.115602209,0.079747186,0.045379108
104,Benserazide Hydrochloride,C1=CC(=C(C(=C1CNNC(=O)C(CO)N)O)O)O.Cl,54.1592,11.83,0.204129644,0.419841735,0.617894051,0.908527273,1.118761721,1.375213945,1.791773293,1.663001196,1.546511076,1.379396467,1.155459756,0.989260658,0.791328894
105,Clorprenaline Hydrochloride,CC(C)NCC(C1=CC=CC=C1Cl)O.Cl,54.5762,0,0.547395632,0.040359151,0.023668266,0.023828679,0.028575498,0.031304196,0.043004479,0.033312543,0.010955213,0.013982141,0.003711102,0.027337341,0.010876835
106,Betamethasone Sodium Phosphate,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)COP(=O)([O-])[O-])O)C)O)F)C.[Na+].[Na+],46.278,333.35,8.527816423,11.16341429,14.30832309,17.72285641,20.79206297,26.71799217,40.70171634,38.04487168,32.96997555,28.08771325,24.08207486,20.47858543,16.61143749
107,Medroxyprogesterone Acetate,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,52.3046,0.23,0.004153698,0.029105674,0.016597104,0.049022858,0.036568059,0.073941279,0.097257492,0.117946559,0.087259157,0.096390702,0.059541377,0.063887594,0.063354578
108,Metamizole Sodium,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].O.[Na+],51.0934,100.21,3.280659865,3.450668584,3.464801248,3.483430111,3.501661637,3.563073906,3.569837661,3.473768323,3.505287991,3.493025845,3.484667908,3.484662119,3.479924426
109,Fludrocortisone Acetate,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)CC[C@@]43C)F)O)C)O,12.8904,1.68,0.218967461,0.208813472,0.223542338,0.221365501,0.201319146,0.153565027,0.190547146,0.092936485,0.248324205,0.245636205,0.278023424,0.241180503,0.19293989
110,Sulfadiazine,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,40.1965,0.54,0.055612854,0.058067647,0.0025618,0.006791535,0.003358878,0.009116863,0.02151416,0.020356197,0.01123575,0.044161827,0.048945836,0.046129883,0.03902832
111,Norgestrel,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,56.0036,0.25,0.011606103,0.019057109,0.02364065,0.039562081,0.048099921,0.054940459,0.070158911,0.064653216,0.068486795,0.061241951,0.053066005,0.048221986,0.041220798
112,2-Methylbenzene Sulfonamide,CC1=CC=CC=C1S(=O)(=O)N,16.0005,0,0.39457937,0.366463386,0.306753112,0.258522235,0.254900482,0.030877339,0.123263567,0.092307134,0.031665839,0.048241643,0.022658385,0.054297473,0.055317294
113,Trihexyphenidyl Hydrochloride,C1CCC(CC1)C(CCN2CCCCC2)(C3=CC=CC=C3)O.Cl,52.7852,0,0.035822871,0.021352637,0.008529074,0.005997649,0.045204756,0.059973651,0.042530147,0.025481228,0.026316375,0.024705211,0.01349067,0.022882918,0.0036745
114,Doxepin Hydrochloride,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31.Cl,56.3062,1.31,0.033717248,0.050575893,0.050575872,0.050643853,0.15236548,1.283214563,14.22863008,13.88790563,12.62529939,11.17569208,9.994947765,8.966947252,8.262955798
115,Dopamine Hydrochloride,C1=CC(=C(C=C1CCN)O)O.Cl,54.9685,1.08,0.044502443,0.059613152,0.04278267,0.049525492,0.01498873,0.030048207,0.058361795,0.027150939,0.031094365,0.019323324,0.015873395,0.027707143,0.01805454
116,Fluorane,C1=CC=C2C(=C1)C(=O)OC23C4=CC=CC=C4OC5=CC=CC=C35,8.2315,1.14,0.051846475,0.045335363,0.119623677,0.149166132,0.154000207,0.193914251,0.231566752,0.216333357,0.209393298,0.192625314,0.147197844,0.130400544,0.061624149
117,Levonorgestrel,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,57.9981,0.45,0.040015921,0.039930564,0.03587078,0.044899682,0.034074842,0.047248448,0.053070066,0.039406426,0.031677045,0.034867832,0.036498978,0.03510209,0.011670734
118,Saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,53.7284,0.42,0.007518444,0.012537047,0.020930669,0.036579352,0.045857864,0.057251671,0.068993536,0.052595591,0.044665554,0.03844465,0.031718343,0.016737146,0.014069859
119,Dithranol,C1C2=C(C(=CC=C2)O)C(=O)C3=C1C=CC=C3O,46.4997,0.51,0.026526885,0.027295065,0.03722513,0.049288568,0.062001411,0.078461303,0.106112418,0.09629621,0.079150338,0.066888155,0.045324333,0.045224367,0.047274544
120,Beclometasone Dipropionate,CCC(=O)OCC(=O)[C@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)Cl)O)C)C)OC(=O)CC,58.0735,4.26,0.087740836,0.15475079,0.226533841,0.299162801,0.372151581,0.462408988,0.508572769,0.442933601,0.370553181,0.308029254,0.249960107,0.227503609,0.177642503
121,Fluphenazine Hydrochloride,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl.Cl,27.0253,3.92,0.079903865,0.146787051,0.179224148,0.201150459,0.259844472,0.351770549,3.355914955,2.684556376,2.007283692,1.409298364,1.099451378,0.780784593,0.657757056
122,Perphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,52.7458,0,0.061798784,0.050105312,0.03092232,0.021986001,0.017981209,0.036025941,0.052524323,0.051804325,0.041863295,0.023517689,0.016235408,0.013370259,0.027446769
123,Megestrol Acetate,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,22.6692,3.9,0.059332053,0.146299831,0.195089319,0.246154315,0.345254071,0.368133678,0.508334989,0.494528571,0.474986716,0.421419764,0.351792715,0.272256643,0.195778037
124,Curcumol,C[C@H]1CC[C@@H]2[C@]13C[C@H]([C@](O3)(CC2=C)O)C(C)C,24.0179,0.95,0.034423903,0.052096934,0.05201734,0.057414116,0.087064849,0.107123348,0.117270772,0.111701239,0.096291648,0.083799672,0.056114474,0.034363085,0.008445485
125,Fluorouracil,C1=C(C(=O)NC(=O)N1)F,51.7392,0.29,0.040682434,0.061532833,0.078814022,0.056249038,0.040648846,0.081069262,0.094618327,0.084499317,0.087433343,0.073635461,0.061871661,0.045759576,0.034079737
126,Antazoline Hydrochloride,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3.Cl,58.3024,0.19,0.039524765,0.042078162,0.032828421,0.03683207,0.020536935,0.026049618,0.037679969,0.029705739,0.019013985,0.037173539,0.031115808,0.017907596,0.018966921
127,Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl.O,47.1124,32.1,0.651401152,1.218952208,2.005392939,3.18440296,4.853468798,7.088722739,13.66085854,12.24874376,10.54822259,8.805111502,7.474683472,6.345187186,5.585458289
128,Quinestrol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC5CCCC5,16.58,0,0.049502546,0.049510512,0.041008082,0.036634115,0.043087716,0.026621172,0.087245989,0.094907448,0.067372086,0.108895231,0.069313466,0.110339162,0.115434556
129,Piroxicam,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,52.2026,0.38,0.004204839,0.010143928,0.014327428,0.019265232,0.024195771,0.031583518,0.043831555,0.035629735,0.03064896,0.022482398,0.01512096,0.009123803,0.004381777
130,Cyclopenthiazide,C1CCC(C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,51.6978,14.5,0.37698799,0.515679121,0.573657308,0.612751722,0.68282224,0.766044618,0.98304494,0.952980262,0.892974004,0.786965902,0.655162158,0.531120666,0.420723228
131,Prednisolone Acetate,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)C=C[C@]34C)O)C)O,43.8926,0.56,0.02200397,0.058662851,0.01561737,0.071006798,0.076935579,0.109775027,0.151312938,0.146159509,0.122492492,0.12873562,0.098331638,0.07745342,0.069262184
132,Calcium Gluconate,C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Ca+2],52.4907,10.48,0.284711432,0.373674089,0.466422421,0.557106455,0.648300755,0.776775543,0.841204788,0.826369274,0.706441661,0.649818035,0.561579666,0.489839372,0.433185535
133,Stanozolol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(CC5=C(C4)NN=C5)C,54.3571,1.53,0.036097532,0.053850495,0.0671726,0.080113098,0.092299794,0.114365296,0.140059191,0.12803218,0.115993741,0.09419893,0.076083781,0.064485524,0.052858684
134,Clemastine Fumarate,C[C@@](C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCC[C@H]3CCCN3C.C(=C/C(=O)O)\C(=O)O,46.1482,0.4,0.020293326,0.016961005,0.02004566,0.031460206,0.037962398,0.064250138,0.067008266,0.047359616,0.045359588,0.032578613,0.023851604,0.035942818,0.037720283
135,Dimenhydrinate,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,50.5941,1.32,0.027075078,0.051770171,0.074106588,0.07357859,0.083303293,0.100890415,0.146592041,0.123344834,0.10631258,0.107925885,0.096896786,0.087031427,0.064604491
136,Cholic Acid,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,47.9063,2.15,0.053262374,0.079038402,0.102799309,0.122252682,0.148710861,0.16917294,0.193809624,0.167562451,0.143473064,0.104709068,0.09501268,0.070333443,0.055630131
137,Artemisinin,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,35.4711,0.37,0.01904145,0.018542282,0.03198415,0.0140846,0.020773064,0.028421724,0.144447465,0.138598454,0.13869346,0.16920889,0.056663589,0.028574417,0.035029101
138,Vitamin B12,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=C\C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)\C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],42.9457,227.27,5.32259671,7.796514816,9.778228231,11.59477071,13.57459917,15.64213617,19.81186678,18.70165437,17.44304484,15.84290304,13.85842562,11.40702781,9.082984598
139,Salicylic Acid,C1=CC=C(C(=C1)C(=O)O)O,42.0299,0,0.057002428,0.065470459,0.042097302,0.051881519,0.063064607,0.076102799,0.049216794,0.03987009,0.049679379,0.030467076,0.023614999,0.011722105,0.007355814
140,Rotundine Hydrochloride,COC1=C(C2=C(CC3C4=CC(=C(C=C4CC[NH+]3C2)OC)OC)C=C1)OC.[Cl-],40.0658,130.37,3.648671655,4.48287264,4.876241056,5.527846677,5.884103023,6.141336666,6.415249014,6.100804549,5.748121396,5.135211953,5.037310852,4.397395278,3.57332795
141,Estradiol Valerate,CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C,38.7282,0,0.558954443,0.32757459,0.015956631,0.002753096,0.006435786,0.004810185,0.009689818,0.016202135,0.014985901,0.018783934,0.030303155,0.022823675,0.028012085
142,Testosterone Propionate,CCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,51.2325,0.53,0.019948517,0.02413695,0.03000093,0.033755287,0.034424727,0.037877356,0.041914231,0.0394003,0.038976833,0.029749249,0.015432236,0.015758322,0.019375387
143,Acetanilide,CC(=O)NC1=CC=CC=C1,47.6543,0.58,0.043853152,0.036996858,0.048940456,0.064582088,0.077323794,0.082757976,0.071273423,0.056047997,0.065745238,0.060705435,0.051643966,0.054333942,0.050323692
144,Mercaptopurine,C1=NC2=C(N1)C(=S)N=CN2.O,9.3655,1.56,0.231089596,0.280048189,0.15971964,0.181912945,0.088153368,0.123485863,0.080321707,0.069950635,0.096666776,0.085486838,0.086028631,0.093492298,0.072446718
145,p-Aminobenzoic Acid,C1=CC(=CC=C1C(=O)O)N,52.9779,0.03,0.002055673,0.002056922,0.003086201,0.008259936,0.019727849,0.029314617,0.105910321,0.065746778,0.050327205,0.026529169,0.009715475,0.012333735,0.006546976
146,Sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,24.6929,0,0.096659103,0.091441438,0.089869843,0.061504016,0.059029181,0.092283113,0.030604247,0.029624115,0.029290027,0.036709558,0.055523885,0.043328248,0.081238148
147,Artemether,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)OC)C,48.7653,4.01,0.017397453,0.12749147,0.156098698,0.164372688,0.347000054,0.362217093,0.360820731,0.353104512,0.311998917,0.272264966,0.264065922,0.228184307,0.215796482
148,Cortisone Acetate,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,44.2275,0.6,0.020366208,0.033849581,0.027391429,0.024924826,0.022451283,0.015839864,0.03397917,0.026456929,0.031128997,0.031286579,0.028156471,0.019304605,0.035268816
149,Bumetanide,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,46.542,0,0.074747482,0.072816842,0.046761831,0.034900564,0.024684295,0.035209565,0.063228095,0.061798825,0.05278633,0.029238177,0.03693375,0.009542043,0.039513004
150,Prednisolone,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,8.9164,13.54,0.388366828,0.497673775,0.747798007,0.924148564,1.125723848,1.193416255,1.473998162,1.331395234,1.134973339,0.953060178,0.791157131,0.565965689,0.456178832
151,Thiamine Nitrate,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.[N+](=O)([O-])[O-],44.0185,3.2,0.077285297,0.11305906,0.152533672,0.193801546,0.255746756,0.309015027,0.565549609,0.472957972,0.438220629,0.402655657,0.36836965,0.339385928,0.303677589
152,Salbutamol Sulfate,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.OS(=O)(=O)O,47.1865,2.98,0.073755765,0.103636829,0.108155234,0.117039567,0.145655783,0.171079622,0.18498256,0.16323497,0.12412776,0.109377105,0.102422716,0.084154152,0.064180756
153,Diclofenac Sodium,C1=CC=C(C(=C1)CC(=O)[O-])NC2=C(C=CC=C2Cl)Cl.[Na+],50.6928,1.47,0,7.11E-15,7.11E-15,3.80E-08,0.101368666,3.491820995,22.81409546,24.3763958,24.34873594,23.85394763,23.25019179,21.59851983,18.59284546
154,Sodium Prasterone Sulfate,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)[O-])C.[Na+],41.6942,237.88,3.584541063,8.083692372,8.730057518,8.759245902,8.813185614,8.877610744,8.948599537,8.89483639,8.839757546,8.792184653,8.745390846,8.686042291,8.608695652
155,Betahistine Hydrochloride,CNCCC1=CC=CC=N1.Cl.Cl,57.0908,70.67,0.538851654,2.938202104,11.15710449,20.66159625,32.68838883,46.413238,81.18372897,81.9009843,77.17246599,68.23894885,57.03357041,44.15454727,32.83819726
156,Phenylephrine Hydrochloride,CNC[C@@H](C1=CC(=CC=C1)O)O.Cl,52.3549,0.5,3.55E-15,0.020091711,3.55E-15,0.020101192,7.23E-06,0.037399293,19.60111539,19.2153935,15.03731986,14.94769413,14.90772627,14.82767863,14.77506243
157,Decloxizine Hydrochloride,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl.Cl,50.5336,17.35,0.38163823,0.590541508,0.762493921,1.063200815,2.033413544,4.914474179,10.72873064,7.516270719,5.981449041,5.365058649,5.074989145,4.80378897,4.572307775
158,Captopril,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,48.689,1.3,0.045173702,0.047571591,0.08127506,0.093855077,0.136867488,0.163667115,0.255748562,0.22677866,0.201662132,0.170019216,0.138536359,0.118733526,0.094656657
159,Lappaconitine Hydrobromide,CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2C[C@@H](C31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@]5([C@H]6OC)O)OC)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C.Br.O,56.2895,10.3,0.276093484,0.35364019,0.431139441,0.492789251,0.54361609,0.588670167,0.643843243,0.606359955,0.528129964,0.483520201,0.381960464,0.315424009,0.262560759
160,Tinidazole,CCS(=O)(=O)CCN1C(=NC=C1[N+](=O)[O-])C,57.9139,0.21,0.016390407,0.010846219,0.013301908,0.021732671,0.029859489,0.045271106,0.06149946,0.062486814,0.055430014,0.047145752,0.053269478,0.042401951,0.036718969
161,β-Cyclodextrin,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@H](O2)[C@@H]([C@H]8O)O)CO)CO)CO)CO)CO)CO)O)O)O,44.893,183.98,3.336282051,6.220622689,10.32689801,13.07037452,15.68196802,17.92257033,18.22022851,17.79967819,17.30666632,16.86905285,16.27153417,15.59667095,14.74254344
162,Indometacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,47.6107,0.71,0.012135192,0.029718942,0.013167183,0.031334452,0.032937239,0.047902772,0.087199798,0.075805001,0.05987718,0.03096372,0.033988266,0.032530317,0.026972423
163,Clobetasol Propionate,CCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CCl,47.278,0.37,0.023286542,0.014860737,0.007509227,0.009596407,0.01244823,0.074863597,0.025897564,0.019993909,0.008701393,0.0310642,0.014578843,0.065314759,0.089319945
164,Gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,48.7135,0,0.10035871,0.061832804,0.06266737,0.086648048,0.065551859,0.091503865,0.122316664,0.100289465,0.091383084,0.06322031,0.049112377,0.029921761,0.004800124
165,Daidzein,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,45.7018,0.1,0.047155275,0.045653971,0.053156557,0.063436633,0.0747542,0.090936163,0.089552767,0.032094756,0.014673976,0.004930379,0.007053247,0.003917699,0.015515224
166,Almitrine Mesylate,CS(=O)(=O)O.CS(=O)(=O)O.C=CCNC1=NC(=NC(=N1)N2CCN(CC2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)NCC=C,55.9707,7.84,0.190589079,0.26508785,0.35708647,0.440542324,0.51468038,0.650193185,0.766979205,0.649817205,0.533715398,0.453536287,0.332110089,0.230070319,0.152596783
167,Famotidine,C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,49.0527,0.77,0.034963499,0.03224594,0.044239941,0.077890263,0.068843309,0.118798863,0.133187297,0.157834243,0.120114238,0.133949424,0.08541655,0.081914747,0.062170764
168,α-Asarone,C/C=C/C1=CC(=C(C=C1OC)OC)OC,51.1224,2.26,0.090313576,0.081499136,0.056399513,0.064274231,0.129472096,0.076526947,0.048171882,0.037848846,0.070471183,0.099256286,0.070467438,0.101303872,0.093831395
169,Maprotiline Hydrochloride,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24.Cl,59.072,2.24,0.082377732,0.105464619,0.136684797,0.160235214,0.177905673,0.131146385,0.169456286,0.156856799,0.13247023,0.088013742,0.093199662,0.03929972,0.017788408
170,Ketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,51.7152,3.23,0.082993909,0.121449397,0.008214439,0.011009491,0.020172762,0.034632808,0.035978231,0.031167282,0.031943222,0.024076169,0.034846599,0.056900011,0.054043415
171,Loperamide Hydrochloride,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl,57.9419,0.49,0.0281476,0.015067808,0.057467239,0.055335509,0.094717757,0.13130561,0.138611977,0.131457989,0.122339903,0.103975575,0.085114865,0.077373308,0.080919837
172,Gliquidone,CC1(C2=C(C=C(C=C2)OC)C(=O)N(C1=O)CCC3=CC=C(C=C3)S(=O)(=O)NC(=O)NC4CCCCC4)C,48.4395,1.09,0.030064378,0.042150542,0.048147258,0.095196832,0.157878782,0.193772317,0.263097697,0.216504675,0.182394514,0.137669212,0.086590046,0.069374423,0.019152198
173,Procaterol Hydrochloride,CCC(C(C1=C2C=CC(=O)NC2=C(C=C1)O)O)NC(C)C.O.Cl,47.8754,2.88,0.314529971,0.303796673,0.190329816,0.114020246,0.140431969,0.17188814,0.197969942,0.176704507,0.14775601,0.109452297,0.072004612,0.029143309,0.020789073
174,Raubasine,C[C@H]1[C@H]2CN3CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC=CC=C45,55.4931,0.61,0.030986398,0.024783129,0.029942049,0.040562131,0.034955299,0.029872487,0.04655303,0.029004588,0.028083989,0.051924856,0.042514012,0.044178714,0.050393456
175,Strychnine Hydrochloride,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75.Cl,69.4551,228.51,6.518564204,7.809150342,8.127220604,8.297960494,8.429777692,8.553747205,8.702029257,8.547409761,8.419732165,8.273227906,8.098673502,7.920514337,7.739573312
176,Scopolamine Hydrobromide,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.O.O.O.Br,45.6845,4.45,0.099655445,0.160257589,0.22803953,0.30869992,0.408287706,0.507708163,0.669973744,0.665622991,0.634434463,0.617010828,0.574254192,0.529918808,0.493015229
177,Glipizide,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,42.2632,0.26,0.002988835,0.047710386,0.026828963,0.08442132,0.141213368,0.172522232,0.216364485,0.201559451,0.1776819,0.145723427,0.091599018,0.066739857,0.064863774
